# x1 y1 x2 y2
139.52 239.29 84.20 238.79
139.52 239.29 138.63 182.89
139.52 239.29 171.99 239.03
139.52 239.29 139.41 377.41
139.52 239.29 173.29 239.14
139.52 239.29 60.25 239.42
139.52 239.29 137.49 294.71
695.55 238.75 605.31 238.99
695.55 238.75 640.41 239.09
695.55 238.75 716.75 241.50
722.66 242.27 733.01 243.61
695.55 238.75 695.99 161.42
695.55 238.75 719.63 238.95
249.20 155.63 180.06 155.63
249.20 155.63 250.25 190.64
580.34 239.15 560.18 239.27
605.31 238.99 640.41 239.09
389.14 461.13 638.78 461.32
389.14 461.13 389.71 433.30
389.14 461.13 244.57 460.73
382.26 471.37 372.36 486.11
389.14 461.13 369.21 462.00
389.14 461.13 286.79 460.70
389.14 461.13 358.74 459.49
259.06 454.09 250.59 453.63
638.78 461.32 638.92 434.54
638.78 461.32 641.56 438.20
645.47 405.61 646.34 398.40
638.78 461.32 369.21 462.00
84.20 238.79 171.99 239.03
84.20 238.79 83.02 72.88
84.20 238.79 60.25 239.42
84.20 238.79 65.98 241.45
55.15 243.04 48.76 243.97
84.20 238.79 52.89 241.32
47.92 241.72 42.95 242.12
38.97 242.44 33.01 242.93
84.20 238.79 73.02 236.43
140.66 461.57 138.59 434.79
140.66 461.57 244.57 460.73
140.66 461.57 137.46 443.45
140.66 461.57 168.89 459.53
306.86 99.09 306.86 127.42
302.37 99.12 140.03 100.18
306.86 99.09 306.44 51.18
309.35 99.13 375.57 100.18
306.86 99.09 306.85 51.18
309.35 99.12 398.31 100.18
302.36 99.13 209.90 99.95
302.40 99.13 197.79 99.97
180.27 405.65 251.83 405.60
121.09 413.46 115.28 414.22
104.64 415.63 99.31 416.33
139.14 127.38 140.03 100.18
306.42 239.12 305.20 190.65
306.42 239.12 281.74 239.35
306.42 239.12 306.86 264.68
306.42 239.12 281.56 239.10
306.42 239.12 308.56 254.28
306.42 239.12 306.86 207.44
528.14 155.63 600.05 155.63
528.14 155.63 527.74 190.64
251.83 405.60 347.61 405.77
251.83 405.60 250.48 417.83
251.83 405.60 251.40 420.77
251.24 426.64 250.72 444.73
251.83 405.60 251.44 420.80
251.29 426.68 250.78 446.28
139.66 44.01 294.36 44.56
139.66 44.01 292.08 44.30
139.66 44.01 197.86 44.45
393.64 405.77 597.44 405.75
250.25 190.64 305.20 190.65
237.54 209.05 232.74 216.00
389.12 378.49 389.86 350.20
400.52 378.22 406.47 378.08
418.37 377.79 423.32 377.67
476.37 99.46 638.23 100.17
472.88 99.45 472.90 127.42
472.88 99.45 475.50 89.29
472.88 99.45 472.90 52.06
472.88 99.45 474.78 52.55
469.41 99.47 375.57 100.18
469.40 99.48 398.31 100.18
476.37 99.45 589.39 99.66
306.83 320.50 306.86 350.17
497.52 239.15 472.88 239.11
560.18 239.27 578.30 239.11
628.55 63.19 631.38 74.00
628.55 63.19 630.09 81.74
607.30 63.19 602.36 63.19
636.10 44.05 487.06 44.53
636.10 44.05 486.18 44.46
636.10 44.05 583.36 44.33
389.86 350.20 472.74 350.16
389.86 350.20 391.53 371.35
389.86 350.20 306.86 350.17
472.74 350.16 472.89 320.38
472.74 350.16 470.51 333.16
305.20 190.65 306.86 207.44
394.26 406.08 597.44 405.75
394.26 406.08 434.95 404.85
388.35 44.68 457.15 44.18
388.35 44.68 318.48 44.61
388.35 44.68 409.56 46.48
388.35 44.68 318.48 44.30
388.35 44.68 459.88 44.53
388.35 44.68 318.48 44.41
388.35 44.68 389.25 60.72
466.41 293.36 464.21 284.19
695.74 72.51 682.02 74.44
695.74 72.51 679.24 72.63
695.74 72.51 695.99 161.42
638.93 182.86 640.41 239.09
306.86 350.17 308.54 334.02
638.23 100.17 638.94 127.43
638.23 100.17 641.60 114.05
638.23 100.17 589.39 99.66
472.88 239.11 475.53 199.05
472.88 239.11 472.87 264.74
472.88 239.11 495.00 239.18
472.88 239.11 472.32 203.94
618.71 81.74 613.76 81.74
606.83 81.74 601.88 81.74
618.94 81.74 613.12 81.74
130.55 151.77 128.95 145.63
346.13 155.63 432.96 155.63
218.74 239.10 199.95 239.02
140.03 100.18 209.90 99.95
140.03 100.18 197.79 99.97
476.08 190.64 527.74 190.64
475.41 193.02 472.32 203.94
517.50 205.56 510.03 216.44
528.72 216.08 528.91 221.07
640.41 239.09 638.93 377.83
640.41 239.09 605.31 239.10
640.41 239.09 641.50 268.46
640.41 239.09 719.63 238.95
645.50 402.49 646.34 398.40
651.28 413.32 656.20 414.01
660.13 414.56 665.05 415.25
670.95 416.08 678.33 417.12
597.44 405.75 434.95 404.85
199.95 239.05 216.65 239.06
487.06 44.53 583.36 44.33
577.98 286.06 578.48 295.06
577.98 286.06 572.63 285.92
557.05 285.52 552.19 285.39
134.49 403.48 132.65 413.18
216.65 239.06 199.95 239.02
678.33 417.12 671.91 417.12
665.99 417.13 661.05 417.13
678.33 417.12 678.07 406.06
678.05 405.10 677.88 397.89
294.36 44.58 197.86 44.45
648.69 160.81 648.50 146.68
664.95 160.82 669.88 160.82
675.79 160.83 680.23 160.83
