# x1 y1 x2 y2
377.78 332.52 242.35 332.14
377.78 332.52 377.15 408.14
377.78 332.52 377.52 229.14
377.78 332.52 462.52 332.43
578.71 72.40 626.14 71.74
578.71 72.40 492.97 72.27
578.71 72.40 578.37 104.63
578.71 72.40 617.78 74.49
129.71 103.60 176.54 104.64
129.71 103.60 129.22 121.93
793.32 181.96 793.30 130.96
793.32 181.96 793.38 220.34
793.32 181.96 729.32 181.90
129.52 553.61 191.08 553.66
129.52 553.61 129.11 526.15
129.52 553.61 129.58 524.98
242.35 332.14 242.55 406.39
242.35 332.14 241.48 254.34
242.35 332.14 245.53 291.03
175.80 26.84 176.54 104.64
175.80 26.84 206.11 26.71
793.43 27.49 793.55 78.20
793.43 27.49 655.21 26.74
793.43 27.49 794.04 20.29
794.45 15.49 795.42 3.97
793.43 27.49 799.39 25.18
811.29 20.57 815.87 18.79
816.78 18.44 824.56 15.42
793.43 27.49 808.60 26.88
793.43 27.49 796.48 65.80
656.91 332.34 656.94 311.18
656.91 332.34 702.15 331.81
656.91 332.34 656.91 355.83
656.91 332.34 656.91 357.08
377.27 26.55 377.06 46.93
377.27 26.55 206.11 26.71
377.27 26.55 460.83 26.54
377.27 26.55 377.25 47.44
377.27 26.55 379.56 38.70
191.08 553.66 241.72 554.07
191.08 553.66 192.13 527.50
176.54 104.64 242.54 104.55
176.54 104.64 176.86 229.13
176.54 104.64 204.36 104.34
176.54 104.64 176.41 151.39
656.94 311.18 656.92 260.13
656.94 311.18 601.56 310.64
765.76 432.97 699.35 433.07
662.40 433.13 656.91 433.13
765.76 432.97 702.14 433.20
799.99 436.37 811.75 437.53
128.87 332.14 129.27 253.96
128.87 332.14 129.08 408.62
128.87 332.14 128.43 338.57
127.83 347.46 127.50 352.40
128.87 332.14 147.86 330.37
128.87 332.14 148.27 332.00
128.87 332.14 128.47 326.67
571.30 433.24 596.58 431.84
578.16 212.39 577.37 259.97
578.16 212.39 577.76 166.33
578.16 212.39 628.42 212.41
578.16 212.39 577.96 230.93
129.57 492.43 129.80 474.69
656.91 433.13 596.58 431.84
656.91 433.13 662.32 433.14
656.91 433.13 656.91 492.40
656.91 433.13 656.91 408.95
656.91 433.13 656.91 409.79
793.95 289.57 793.20 342.19
793.95 289.57 795.08 324.82
793.95 289.57 793.55 254.47
793.95 289.57 701.91 290.81
124.25 235.90 121.91 227.45
135.28 146.18 137.68 155.76
241.31 200.60 241.31 172.88
241.31 200.60 239.53 188.36
241.72 554.07 376.76 554.07
241.72 554.07 241.33 526.69
241.72 554.07 304.32 552.97
241.72 554.07 290.75 552.91
596.58 490.66 596.58 431.84
175.93 358.87 176.78 434.11
182.75 337.19 186.02 326.80
130.05 172.91 130.31 201.58
135.28 156.37 138.63 145.78
596.58 431.84 596.59 382.24
596.58 431.84 571.30 430.74
536.25 429.21 531.29 429.00
702.15 331.81 702.14 433.20
702.15 331.81 702.10 371.69
793.55 78.20 795.05 20.95
795.16 16.96 795.50 4.02
