# x1 y1 x2 y2
1510.97 491.79 1510.50 456.73
1510.97 491.79 1463.13 491.97
1510.97 491.79 1510.77 608.21
1510.97 491.79 1587.23 491.41
1510.97 491.79 1510.51 478.37
1390.20 416.78 1321.97 416.48
1390.20 416.78 1391.82 464.10
1390.20 416.78 1391.79 445.28
276.96 267.28 272.48 267.29
353.10 267.16 470.93 267.78
897.48 411.91 897.20 405.43
897.48 411.91 898.03 475.22
897.48 411.91 823.25 411.32
575.21 38.75 574.84 98.02
575.21 38.75 808.79 38.23
575.21 38.75 488.26 38.03
575.05 378.48 749.96 379.00
575.05 378.48 573.48 405.52
572.45 423.21 572.08 429.61
575.05 378.48 474.41 379.05
575.05 378.48 576.57 345.94
575.05 378.48 645.32 378.76
575.05 378.48 573.54 397.60
575.05 378.48 575.09 332.35
354.03 378.41 275.61 377.79
354.03 378.41 474.41 379.05
354.03 378.41 350.47 372.00
354.03 378.41 353.89 396.13
353.53 443.22 352.28 608.17
272.48 267.29 174.29 266.89
174.29 266.89 177.53 311.96
174.29 266.89 177.48 291.67
174.29 266.89 175.00 221.59
174.29 266.89 173.71 221.41
83.81 38.15 83.78 69.06
83.81 38.15 83.72 69.41
83.81 38.15 163.53 37.79
1668.64 365.48 1666.49 292.30
1668.64 365.48 1667.72 222.69
1668.64 365.48 1667.79 393.08
1668.64 365.48 1626.95 366.90
1668.64 365.48 1666.98 415.13
1668.64 365.48 1666.90 222.25
1668.64 365.48 1626.95 366.04
1585.39 366.59 1551.92 367.03
1668.64 365.48 1626.95 365.66
749.94 430.16 748.95 474.43
749.94 430.16 749.96 379.00
749.94 430.16 680.14 428.83
1461.57 271.05 1461.53 335.32
1461.57 271.05 1461.57 219.16
1461.57 271.05 1381.36 270.98
574.84 98.02 823.26 98.02
574.84 98.02 477.20 98.02
574.84 98.02 576.29 194.60
574.84 98.02 531.31 98.02
1320.59 607.95 1322.09 518.91
1320.59 607.95 1319.53 581.60
1461.53 335.32 1512.19 335.85
1461.53 335.32 1461.66 465.58
1461.53 335.32 1514.87 335.96
1461.53 335.32 1461.58 443.98
1459.50 520.19 1458.79 608.31
1545.16 421.04 1557.02 420.16
965.74 243.60 963.49 299.43
965.74 243.60 861.66 244.13
965.74 243.60 861.66 244.50
965.74 243.60 971.89 242.32
965.74 243.60 976.63 242.52
1077.44 232.51 1082.89 231.97
1661.66 95.49 1664.50 76.83
1661.66 95.49 1657.20 95.64
1591.74 97.87 1587.28 98.02
1707.91 97.63 1716.24 98.02
1661.66 95.49 1665.49 88.04
896.59 405.30 896.86 418.19
897.49 448.93 898.03 475.22
896.05 379.02 749.96 379.00
896.05 379.02 948.82 378.04
1666.51 333.64 1667.79 393.08
1663.23 181.28 1664.54 163.10
1666.54 135.58 1667.25 125.75
1663.23 181.28 1664.49 171.96
1663.23 181.28 1656.84 181.22
1652.91 181.19 1639.15 181.06
229.52 582.17 230.76 605.41
1321.97 416.48 1321.51 441.80
1321.97 416.48 1316.47 416.42
1184.56 415.20 1176.06 415.13
1321.97 416.48 1327.22 222.49
1321.97 416.48 1321.42 422.90
1317.60 467.37 1316.58 479.23
1316.24 483.18 1315.82 488.12
1321.97 416.48 1321.99 347.31
1329.25 98.02 1461.60 98.02
1288.19 98.02 1182.40 98.02
1288.22 98.02 1280.19 98.02
1461.60 98.02 1461.60 169.01
1461.60 98.02 1461.60 38.90
1461.60 98.02 1587.28 98.02
1461.60 98.02 1329.25 98.02
1288.22 98.02 1280.19 98.02
1669.36 464.25 1667.79 393.08
1669.36 464.25 1666.98 415.13
823.26 98.02 1018.59 98.02
823.26 98.02 826.53 55.15
823.26 98.02 823.26 194.59
823.26 98.02 531.31 98.02
823.26 98.02 1067.54 96.50
1458.79 608.31 1460.47 518.72
1494.89 675.55 1497.47 680.34
749.96 379.00 645.32 378.76
893.07 276.89 749.92 276.82
896.52 303.99 897.83 314.34
893.07 276.89 823.79 276.75
524.47 570.54 526.70 603.94
522.31 538.13 512.61 536.96
749.92 276.82 749.81 315.63
749.92 276.82 823.79 276.75
1341.18 38.29 1461.60 38.90
1310.57 38.18 1195.71 37.87
1327.47 54.73 1325.55 70.85
1422.26 492.37 1391.57 492.68
1463.13 491.97 1587.23 491.41
1422.25 492.49 1361.35 493.30
823.25 411.32 823.30 504.20
477.20 98.02 531.31 98.02
433.27 98.02 213.42 98.02
433.30 98.02 429.09 98.02
1716.29 135.68 1716.28 142.14
1716.29 135.68 1716.28 131.22
1716.29 135.68 1723.34 141.75
1716.29 135.68 1746.86 138.38
177.49 446.47 175.14 507.43
177.55 437.54 173.49 464.16
1666.69 70.51 1670.29 65.78
470.93 267.78 473.52 325.66
470.93 267.78 470.76 221.53
1316.92 483.33 1315.88 488.14
1268.37 466.65 1262.46 466.93
1018.59 98.02 1021.51 49.73
1018.59 98.02 1135.57 98.02
1018.59 98.02 1018.58 194.62
1018.59 98.02 1077.56 96.51
683.71 505.91 688.21 505.88
683.71 505.91 683.50 501.46
683.71 505.91 614.05 505.93
683.71 505.91 687.88 507.58
683.71 505.91 688.21 505.85
787.29 504.64 823.30 504.20
83.72 338.38 85.64 389.95
83.72 338.38 13.97 337.52
83.72 338.38 83.73 222.70
83.72 338.38 88.54 356.22
574.80 271.97 576.49 342.44
574.80 271.97 575.09 332.35
948.82 378.04 947.48 365.88
575.25 606.71 575.31 531.55
575.25 606.71 578.49 561.02
1627.40 491.61 1587.23 491.41
174.07 163.05 174.27 124.85
131.65 165.26 125.66 165.57
1669.31 517.34 1667.16 609.70
1669.31 517.34 1667.52 542.99
1391.57 492.68 1391.82 464.10
1391.57 492.68 1391.79 445.28
1391.57 492.68 1361.84 491.08
1391.57 492.68 1361.35 493.28
1004.04 38.28 842.85 38.20
1038.19 38.25 1161.94 37.93
749.98 556.47 748.55 541.04
749.98 556.47 749.94 608.40
1667.72 222.69 1667.79 393.08
1712.53 198.33 1716.24 196.31
787.29 505.28 857.18 505.24
787.29 505.25 823.30 504.20
1667.79 393.08 1666.98 415.13
1667.79 393.08 1666.58 222.03
1662.31 393.14 1652.35 393.23
1612.54 393.63 1606.56 393.68
1141.03 98.02 1135.57 98.02
1181.38 124.59 1180.80 165.17
1182.40 98.02 1280.19 98.02
1140.04 97.36 1086.49 96.51
1461.60 38.90 1652.05 37.71
1461.60 38.90 1652.05 38.73
680.14 428.83 671.42 428.89
623.30 429.24 595.45 429.44
591.48 429.47 572.08 429.61
680.14 428.83 671.42 428.99
1424.24 464.79 1436.22 465.04
1441.20 465.15 1450.18 465.34
1391.82 464.10 1391.79 445.28
275.61 377.79 271.77 384.18
275.61 377.79 272.46 366.89
963.69 306.85 1018.58 308.13
469.89 605.40 470.58 566.67
469.89 605.40 468.55 590.98
370.29 411.14 380.25 411.19
390.21 411.25 396.19 411.28
424.08 411.42 432.05 411.46
576.29 194.60 823.26 194.59
576.29 194.60 532.69 196.03
576.29 194.60 477.10 196.03
1716.24 196.31 1721.55 186.26
808.79 38.17 488.26 37.88
823.26 194.59 532.69 196.03
823.26 194.59 1018.58 194.62
823.26 194.59 911.75 196.03
1585.39 367.02 1551.92 367.06
83.72 126.87 83.72 165.48
83.72 126.87 83.73 165.50
572.08 429.61 572.45 435.04
573.51 450.87 575.27 477.08
572.08 429.61 572.43 423.13
573.50 403.21 576.57 345.94
572.08 429.61 591.36 429.72
595.31 429.75 623.48 429.92
572.08 429.61 572.22 423.18
83.72 440.86 84.03 603.92
83.73 440.86 84.57 525.94
83.73 440.86 84.24 554.57
83.88 440.84 88.47 455.10
470.90 462.55 470.94 505.94
470.90 462.55 469.52 471.93
1667.27 125.75 1666.52 148.38
1018.58 308.13 1018.63 269.37
1018.58 308.13 1018.74 470.10
577.76 531.44 578.49 547.23
575.27 477.08 573.01 423.19
531.31 98.02 531.39 103.46
531.31 98.02 477.20 98.02
433.30 98.02 429.09 98.02
1176.06 415.13 1102.30 415.12
1176.06 415.13 1176.87 471.50
1176.06 415.13 1179.75 220.68
1176.06 415.13 1179.90 220.68
1176.06 415.13 1178.54 223.21
473.52 387.33 470.95 411.21
532.69 196.03 477.10 196.03
532.69 196.03 476.67 196.03
532.69 196.03 476.67 195.48
435.13 195.08 383.79 194.58
1179.18 124.83 1180.80 165.17
1325.55 165.26 1325.55 125.40
815.91 244.36 614.05 244.53
435.13 196.03 214.76 196.03
435.13 195.38 383.79 194.58
435.13 195.76 255.86 194.58
122.59 98.02 172.31 98.02
122.59 98.02 173.31 98.02
173.73 567.06 174.29 605.44
169.62 550.18 166.60 537.76
1587.28 98.02 1591.42 111.82
1610.55 175.58 1612.12 180.82
1587.26 110.44 1587.20 157.66
456.43 37.86 193.63 37.76
469.47 56.11 470.95 69.29
819.66 244.53 614.05 244.53
1102.30 415.12 1102.32 497.62
576.57 345.94 474.42 345.94
576.57 345.94 708.13 345.94
576.57 345.94 575.09 332.35
1591.70 157.78 1587.20 157.66
410.89 553.44 406.09 552.38
1551.92 366.98 1583.10 365.85
1667.16 609.70 1667.52 542.99
1587.54 416.48 1591.58 400.08
1176.64 522.48 1175.91 609.24
1228.37 484.34 1238.26 485.11
1329.47 196.03 1377.87 196.03
1287.58 196.03 1182.79 196.03
1329.47 196.03 1419.74 196.03
1754.56 678.88 1636.04 680.35
1754.56 678.88 1761.96 671.56
1764.77 668.77 1771.11 662.49
474.42 345.94 346.46 345.94
474.42 345.94 380.71 345.94
1693.16 38.83 1706.54 39.21
1711.49 39.36 1716.44 39.50
1726.35 39.78 1735.27 40.04
173.48 594.04 174.29 605.44
170.28 548.95 166.44 535.55
165.12 530.93 163.93 526.78
118.41 550.30 113.97 550.42
142.10 550.79 137.15 551.11
119.35 552.28 114.40 552.60
88.69 554.28 84.24 554.57
575.31 531.55 578.52 553.21
645.89 533.69 651.82 533.87
177.51 426.43 175.14 507.43
245.03 412.93 252.98 413.04
177.51 415.48 173.53 448.13
1461.66 465.58 1461.58 443.98
1381.36 270.98 1378.49 209.35
1378.13 201.46 1377.87 196.03
1381.36 270.98 1381.45 188.14
748.51 560.02 749.94 608.40
804.85 533.49 811.81 533.72
209.09 295.62 220.97 295.82
227.90 295.94 235.82 296.08
1135.57 98.02 1141.03 98.02
1182.40 98.02 1280.19 98.02
1135.63 78.98 1135.67 67.76
1135.57 98.02 1083.51 96.49
174.29 605.44 173.45 599.05
166.84 548.90 165.68 540.05
402.73 536.93 403.35 541.81
449.41 529.55 456.37 530.24
1175.91 609.24 1175.53 522.48
1175.91 609.24 1174.50 529.18
1748.18 162.67 1747.48 149.78
857.18 505.24 823.30 504.20
84.03 603.92 84.57 525.94
84.03 603.92 84.24 554.57
470.94 505.94 473.44 490.68
1121.26 499.46 1102.32 497.62
1107.04 500.58 1096.14 499.92
1089.20 499.50 1057.98 497.62
1136.91 498.95 1132.87 498.35
465.08 554.22 464.22 549.41
462.83 541.73 461.11 532.13
