# x1 y1 x2 y2
313.65 264.51 313.57 219.33
313.65 264.51 324.15 276.72
313.65 264.51 313.81 302.28
313.65 264.51 313.72 287.91
313.65 264.51 303.28 274.56
313.76 143.39 313.49 117.18
314.03 408.86 313.65 378.11
172.91 181.90 247.22 181.49
172.91 181.90 134.88 182.04
172.91 181.90 198.41 182.06
176.74 185.55 182.99 191.51
172.91 181.90 184.76 172.61
247.24 341.22 185.91 342.17
324.15 276.72 396.07 276.76
317.32 293.61 313.81 302.28
324.15 276.72 313.72 287.91
247.22 181.49 198.41 182.06
396.07 276.76 412.18 286.91
396.07 276.76 411.33 266.97
396.07 276.76 411.81 265.95
396.07 276.76 303.70 275.62
370.46 95.81 365.01 62.56
371.41 95.11 395.32 62.70
185.91 342.17 186.82 195.15
185.91 342.17 185.91 172.21
134.88 182.04 121.00 172.80
134.88 182.04 120.96 191.97
44.14 158.00 47.97 190.22
44.14 158.00 50.46 157.89
67.94 157.58 72.80 157.49
384.23 370.25 385.32 342.04
384.23 370.25 379.92 369.13
384.23 370.25 379.41 367.99
509.50 296.04 514.97 296.06
469.67 295.52 475.59 295.14
485.66 294.99 494.62 294.62
198.41 182.06 191.00 190.43
365.01 62.56 370.44 62.52
438.44 286.52 463.15 252.85
461.07 290.65 477.65 293.34
438.04 286.43 430.78 252.93
48.44 191.32 73.96 157.86
401.15 105.12 396.24 105.47
420.31 103.76 442.11 100.87
420.31 103.76 421.37 98.55
423.49 88.14 425.14 80.09
392.93 105.24 400.01 79.08
121.00 172.80 113.28 176.14
514.97 296.06 509.65 295.79
501.90 295.40 496.10 295.10
494.16 295.00 485.45 294.56
514.97 296.06 507.53 295.30
514.97 296.06 513.81 290.72
512.12 282.95 509.48 270.81
514.97 296.06 515.41 290.67
514.97 296.06 506.80 286.70
501.57 280.71 497.97 276.59
463.15 252.85 455.79 252.87
437.15 252.92 430.78 252.93
98.96 201.11 97.37 183.04
336.01 168.24 334.39 174.91
335.40 330.73 329.80 360.35
313.81 302.28 313.72 287.91
74.46 201.11 74.37 181.77
74.36 179.79 74.33 173.83
74.29 163.92 74.26 157.96
74.46 201.11 74.42 181.87
400.01 79.08 414.02 79.64
485.44 294.53 499.10 294.44
375.94 209.70 393.39 209.70
374.48 208.61 392.79 187.91
393.11 194.35 392.79 187.91
442.74 100.35 446.93 86.87
506.68 287.43 512.45 282.10
513.17 281.43 516.42 278.43
74.26 157.97 74.31 163.96
425.14 80.09 446.87 85.40
392.79 187.91 373.67 187.02
509.48 270.81 512.32 273.93
186.00 340.00 186.00 182.00
130.00 182.00 243.00 182.00
314.00 276.00 401.00 276.00
314.00 402.00 314.00 383.00
187.00 341.00 243.00 341.00
314.00 291.00 314.00 235.00
312.00 229.00 312.00 222.00
314.00 137.00 314.00 122.00
401.00 278.00 405.00 268.00
120.00 174.00 125.00 174.00
