# x1 y1 x2 y2
777.50 358.78 776.44 274.56
777.50 358.78 778.66 437.54
777.50 358.78 830.84 358.38
777.50 358.78 802.65 356.47
777.50 358.78 809.85 357.58
777.50 358.78 776.90 316.76
14.83 177.74 80.12 177.74
14.83 177.74 13.34 262.78
377.25 488.47 710.28 488.34
302.64 488.50 197.80 487.50
369.94 540.60 371.98 589.06
297.01 224.61 246.86 224.56
80.12 177.74 78.42 217.11
487.05 275.73 487.05 224.59
487.05 275.73 487.05 194.15
487.05 380.23 487.05 406.25
200.16 408.09 78.40 406.25
200.16 408.09 197.80 487.50
200.16 408.09 122.85 406.26
200.16 408.09 142.87 406.93
487.05 224.59 487.05 194.15
487.05 224.59 487.05 192.94
487.05 224.59 708.82 223.44
370.38 438.11 371.62 406.25
778.59 540.22 776.27 589.06
311.15 144.67 366.96 144.43
710.28 488.34 377.54 488.52
175.43 326.70 123.98 326.07
175.43 326.70 164.18 328.47
175.43 326.70 141.85 326.69
371.62 406.25 245.16 407.30
371.62 406.25 487.05 406.25
371.62 406.25 315.88 406.39
245.14 379.77 245.16 407.30
245.03 277.59 245.19 192.97
245.03 277.59 246.86 224.56
147.01 487.50 197.80 487.50
775.62 64.74 776.22 172.66
775.62 64.74 487.97 64.75
365.28 175.64 366.96 144.43
245.19 64.66 245.14 92.45
245.19 64.66 245.19 93.70
245.19 64.66 487.97 64.75
555.40 325.00 607.68 325.00
555.40 325.00 583.25 325.23
245.16 407.30 245.18 380.86
245.16 407.30 315.88 406.39
246.44 192.02 246.86 224.56
76.12 306.76 78.40 406.25
776.44 274.56 776.90 316.76
78.41 589.07 78.41 570.67
78.41 569.67 78.40 536.36
78.41 589.07 371.98 589.06
78.40 436.82 78.40 406.25
78.40 438.60 78.40 406.25
245.19 192.97 246.86 224.56
366.96 144.43 418.67 143.62
78.40 406.25 122.85 406.26
78.40 406.25 142.87 406.93
123.98 326.07 141.85 326.69
487.76 94.48 487.97 64.75
607.68 325.00 583.25 325.23
615.97 337.61 622.66 347.77
487.05 92.94 487.97 64.75
371.98 589.06 547.20 589.06
776.27 589.06 547.20 589.06
487.05 380.87 487.05 406.25
527.28 0.00 518.47 23.94
115.76 336.10 126.77 359.29
830.84 358.38 826.92 356.27
830.84 358.38 809.85 357.58
365.28 274.22 365.28 323.73
169.89 259.96 165.44 259.96
131.82 260.00 122.93 260.01
117.98 260.02 107.60 260.03
169.89 259.96 166.91 243.86
169.89 259.96 165.39 259.88
796.97 321.57 807.30 345.69
499.63 49.15 502.62 45.15
499.66 36.31 501.33 32.25
518.47 23.94 509.11 0.03
504.98 31.49 487.58 41.23
576.09 624.64 567.13 648.22
107.60 260.03 108.40 255.64
109.82 247.83 110.80 242.46
107.60 260.03 117.85 259.80
122.73 259.69 133.47 259.45
110.80 242.46 118.19 242.64
122.12 242.74 132.95 243.01
157.56 243.62 166.91 243.86
110.80 242.46 117.27 242.46
123.24 242.47 131.20 242.48
567.13 648.22 557.76 633.85
547.20 589.06 549.15 616.76
547.20 589.06 545.55 594.17
541.36 607.17 539.86 611.82
807.30 345.69 817.81 321.37
144.11 353.40 149.27 351.65
850.49 352.08 851.37 335.91
818.07 356.46 809.85 357.58
166.91 243.86 158.61 243.51
585.43 331.21 594.97 357.40
516.02 640.24 522.10 642.44
527.71 644.46 537.52 648.01
516.02 640.24 520.74 637.54
528.45 633.13 532.74 630.69
536.17 628.73 542.17 625.30
516.02 640.24 519.62 637.61
528.42 631.18 535.22 626.22
540.51 641.29 542.49 636.81
501.33 32.25 514.05 42.23
540.11 624.47 535.22 626.22
122.85 406.26 142.87 406.93
246.00 64.00 778.00 64.00
79.00 589.00 778.00 589.00
246.00 65.00 777.00 65.00
380.00 488.00 709.00 488.00
372.00 588.00 777.00 588.00
78.00 407.00 201.00 407.00
510.00 223.00 707.00 223.00
78.00 590.00 369.00 590.00
248.00 408.00 417.00 406.00
314.00 144.00 416.00 143.00
380.00 489.00 709.00 489.00
14.00 177.00 81.00 178.00
246.00 224.00 295.00 224.00
149.00 487.00 283.00 489.00
125.00 326.00 174.00 326.00
777.00 365.00 777.00 277.00
440.00 407.00 488.00 407.00
778.00 359.00 833.00 358.00
