# x1 y1 x2 y2
248.74 102.48 248.36 73.64
181.13 265.98 134.06 266.71
248.42 177.07 248.64 228.33
248.38 102.50 248.36 73.64
248.59 493.99 248.37 462.98
248.40 304.01 248.49 348.62
248.40 304.01 248.63 371.58
19.80 402.50 21.99 412.24
23.53 419.05 27.27 435.59
20.17 402.01 27.96 401.83
20.15 402.01 27.59 401.87
20.18 402.00 27.11 401.76
248.49 348.62 251.35 351.92
251.98 352.65 259.91 361.82
248.49 348.62 248.48 386.71
248.49 348.62 248.63 371.58
248.49 348.62 238.47 359.49
181.77 139.41 132.79 139.39
28.42 247.11 29.82 253.90
32.40 266.49 33.40 271.34
28.02 242.75 35.81 242.73
53.35 242.68 61.14 242.66
28.02 242.74 34.93 242.49
62.25 444.66 69.17 443.92
54.52 433.26 55.30 419.02
27.68 435.68 53.43 401.62
34.63 116.19 41.21 149.81
34.63 116.19 41.10 116.12
59.04 115.91 67.02 115.82
259.91 361.82 331.46 361.51
259.91 361.82 248.63 371.58
327.05 63.34 334.69 37.98
354.01 61.03 377.17 58.65
331.46 361.51 346.51 370.73
331.46 361.51 346.51 350.95
331.46 361.51 343.15 351.49
331.46 361.51 238.35 361.25
181.16 425.89 134.06 425.89
297.79 20.35 300.02 30.93
301.44 37.66 304.68 53.05
298.14 19.86 305.30 19.79
298.18 19.86 305.98 19.76
298.18 19.86 305.09 19.71
297.94 20.28 308.32 37.88
42.97 149.25 67.22 116.22
305.00 53.99 305.74 20.28
305.88 53.32 331.52 19.83
305.49 53.12 309.88 41.27
134.06 266.71 120.20 276.55
134.06 266.71 118.87 256.43
323.81 144.92 323.71 149.91
323.58 155.90 323.41 164.38
322.41 142.50 305.97 143.32
270.69 124.82 262.67 158.44
61.48 278.12 62.78 260.19
69.23 284.82 77.02 284.29
323.41 164.38 304.12 161.98
323.41 164.38 304.88 163.64
323.41 164.38 304.20 161.14
268.22 440.33 271.37 424.94
272.55 419.17 274.32 410.51
132.79 139.39 117.39 130.14
132.79 139.39 120.55 150.07
94.29 285.27 95.24 257.31
95.09 443.48 76.06 443.46
69.37 158.39 70.79 139.70
70.94 137.74 71.27 133.31
131.39 428.08 122.23 435.59
134.06 425.89 118.88 415.51
270.92 251.77 262.87 285.42
357.01 62.33 361.95 37.41
357.01 62.33 377.17 58.65
334.69 37.98 348.81 37.69
334.69 37.98 350.17 40.69
304.71 291.49 324.45 294.12
361.95 37.41 380.37 40.90
374.58 371.64 398.46 338.09
395.09 376.01 410.70 377.68
372.58 371.26 367.41 349.16
367.18 348.20 364.93 338.59
398.46 338.09 390.05 338.09
373.23 338.10 365.32 338.11
398.46 338.09 390.20 338.09
94.87 159.41 94.95 141.87
323.76 449.97 324.40 421.86
324.46 294.19 305.03 294.20
324.51 279.72 324.31 273.24
248.49 386.71 248.63 371.58
409.77 379.05 400.06 379.75
419.52 378.52 429.48 378.88
430.48 378.91 435.46 379.09
442.44 379.34 450.42 379.63
418.52 378.47 429.43 378.60
430.43 378.61 435.39 378.67
419.70 379.19 429.51 378.88
430.49 378.85 435.39 378.69
94.15 257.74 82.34 267.68
450.78 379.18 449.45 374.45
447.32 366.88 443.86 354.59
450.45 379.62 442.93 379.13
377.17 58.65 380.37 40.90
365.29 338.11 373.21 338.09
304.04 252.72 303.64 257.48
324.31 273.24 304.89 272.34
61.14 242.65 53.23 242.53
308.55 407.21 301.86 439.59
303.84 125.87 303.23 134.44
302.50 124.52 295.81 124.88
94.89 422.24 76.16 421.73
248.00 97.00 248.00 78.00
248.00 361.00 336.00 361.00
248.00 382.00 248.00 326.00
129.00 139.00 177.00 139.00
125.00 425.00 177.00 425.00
248.00 224.00 248.00 197.00
149.00 266.00 177.00 266.00
248.00 489.00 248.00 467.00
248.00 325.00 248.00 309.00
128.00 143.00 128.00 136.00
336.00 364.00 340.00 368.00
