# x1 y1 x2 y2
190.74 649.55 270.00 649.68
190.74 649.55 191.24 344.79
190.74 649.55 190.96 732.29
190.74 649.55 105.54 650.07
729.62 649.48 650.64 649.81
729.62 649.48 848.36 650.01
729.62 649.48 729.92 690.66
729.62 649.48 729.97 235.15
729.62 649.48 729.56 705.93
729.62 649.48 731.24 323.16
650.64 649.81 650.79 325.32
650.64 649.81 592.97 649.80
650.64 649.81 649.11 716.62
648.95 723.55 648.73 732.95
650.64 649.81 650.81 416.97
270.00 649.68 270.93 697.26
270.00 649.68 350.44 649.65
270.00 649.68 269.98 439.31
269.97 374.85 269.97 343.67
270.00 649.68 270.33 440.90
270.00 649.68 270.88 439.31
270.00 649.68 268.49 583.47
270.00 649.68 268.51 553.47
508.42 263.08 435.06 300.59
509.65 316.18 509.83 323.62
508.42 263.08 509.77 233.47
508.42 263.08 508.64 233.47
848.36 650.01 848.59 620.23
848.36 650.01 849.97 621.21
848.36 650.01 847.55 643.77
839.49 581.57 838.91 577.15
848.36 650.01 847.45 642.81
311.12 262.86 435.06 300.59
273.36 337.01 269.97 343.67
311.12 262.86 309.04 232.09
311.12 262.86 310.66 231.89
311.12 262.86 311.16 231.89
846.51 364.45 916.41 363.88
846.51 364.45 846.40 336.68
846.51 364.45 847.05 425.81
846.51 364.45 845.40 356.02
846.51 364.45 844.47 397.73
927.46 121.83 847.77 120.25
927.46 121.83 926.31 89.53
927.46 121.83 925.99 128.14
915.13 174.72 913.67 181.03
927.46 121.83 1003.99 120.50
270.93 697.26 270.33 440.90
276.77 720.38 280.92 736.78
270.93 697.26 268.50 587.94
191.24 344.79 269.97 343.67
435.06 300.59 509.83 323.62
435.06 300.59 348.13 344.53
1007.77 690.32 1007.88 621.28
1007.77 690.32 729.92 690.66
1007.77 690.32 1011.46 653.13
1007.77 690.32 865.74 689.98
350.44 649.65 509.89 649.90
350.44 649.65 350.39 704.79
350.44 649.65 348.15 440.86
350.44 649.65 347.50 525.65
350.44 649.65 407.67 649.62
350.44 649.65 350.40 462.96
1008.01 550.35 1007.84 496.25
1008.01 550.35 1009.10 495.28
269.97 343.67 348.13 344.53
269.97 343.67 270.09 374.85
269.97 343.67 271.16 372.43
269.97 343.67 269.36 351.09
265.47 398.45 264.59 409.25
269.97 343.67 269.34 351.09
190.96 732.29 159.30 731.38
190.96 732.29 218.54 731.63
190.96 732.29 218.87 733.68
276.65 736.56 280.92 736.78
916.41 363.88 916.88 302.85
509.89 649.90 592.97 649.80
509.89 649.90 509.85 706.02
509.89 649.90 509.87 442.21
509.89 649.90 512.53 676.08
509.89 649.90 512.51 478.80
509.89 649.90 509.29 464.29
509.89 649.90 407.67 649.62
311.46 143.00 431.26 142.36
311.46 143.00 107.81 143.44
311.46 143.00 310.85 165.32
311.46 143.00 309.65 165.04
311.46 143.00 311.36 165.32
311.46 143.00 173.73 143.16
779.23 203.12 786.37 203.18
721.72 202.64 561.50 202.50
721.72 202.64 718.43 199.64
703.80 186.29 699.41 182.28
693.56 176.94 685.15 169.27
721.72 202.64 598.48 205.50
727.52 276.03 731.24 323.16
786.37 203.18 788.37 140.28
786.37 203.18 791.47 156.09
795.12 122.39 795.61 117.93
650.79 325.32 594.28 324.67
650.79 325.32 650.81 416.97
849.10 551.56 849.81 494.74
849.10 551.56 848.17 494.36
269.57 793.19 269.60 766.49
269.57 793.19 350.39 793.21
269.57 793.19 105.57 793.22
269.57 793.19 174.10 792.52
269.57 793.19 227.81 792.64
954.74 182.58 913.67 181.03
1006.25 264.18 1006.25 213.75
1006.25 264.18 1009.17 212.23
730.20 795.04 590.73 793.22
730.20 795.04 729.76 774.84
730.20 795.04 730.05 773.76
730.20 795.04 731.38 773.76
730.20 795.04 677.46 793.21
847.77 120.25 847.31 143.89
954.84 303.63 916.88 302.85
912.44 70.81 902.73 57.71
945.72 66.68 949.77 61.92
109.50 358.98 105.59 704.32
109.50 340.92 105.54 650.07
113.13 202.47 257.90 202.52
109.18 166.77 107.81 143.44
113.13 202.45 182.13 201.71
57.21 202.67 26.98 202.78
113.13 202.53 203.48 205.50
429.07 109.40 431.26 142.36
429.00 45.69 428.99 18.38
729.92 690.66 729.56 705.93
729.92 690.66 731.19 708.01
729.92 690.66 865.74 689.98
729.92 690.66 731.27 309.53
729.92 690.66 731.24 323.16
105.59 704.32 105.54 650.07
105.59 704.32 105.60 232.54
100.47 731.00 98.87 739.32
105.59 704.32 107.81 233.79
1006.25 425.13 1006.29 385.73
509.88 142.52 431.26 142.36
509.88 142.52 725.50 140.28
509.88 142.52 509.87 167.08
509.88 142.52 509.13 167.16
509.88 142.52 507.45 137.66
509.88 142.52 507.95 167.08
1006.29 385.73 1006.25 333.99
1006.29 385.73 1091.91 385.72
1006.29 385.73 1009.23 332.95
677.08 731.27 648.73 732.95
455.15 738.73 429.01 736.90
455.15 738.73 402.06 738.96
849.81 494.74 847.49 522.97
916.88 302.85 916.41 241.57
916.88 302.85 898.93 304.84
916.88 302.85 898.93 303.90
830.27 307.93 822.34 308.40
916.88 302.85 918.38 297.56
925.45 272.57 927.63 264.88
916.88 302.85 955.06 305.91
105.54 650.07 107.41 232.54
107.71 166.77 107.81 143.44
105.54 650.07 107.81 233.79
509.83 323.62 594.28 324.67
509.83 323.62 509.84 372.37
956.41 589.45 927.24 587.82
956.41 589.45 903.26 589.27
590.72 705.07 592.97 649.80
590.72 705.07 590.67 439.13
581.85 728.79 578.95 736.54
257.90 202.52 182.13 201.71
337.40 208.53 345.85 209.16
727.73 165.08 725.50 140.28
591.28 438.45 592.97 649.80
590.72 368.74 594.28 324.67
729.97 235.15 731.27 309.53
729.97 235.15 731.24 323.16
1006.25 144.50 1003.99 120.50
350.39 372.40 348.13 344.53
592.97 649.80 590.67 439.13
592.97 649.80 594.51 543.63
277.53 726.58 278.52 721.59
348.13 344.53 347.70 351.92
913.67 181.03 914.05 189.46
914.41 197.40 916.41 241.57
250.24 400.36 247.82 395.50
899.41 460.90 952.38 460.99
899.41 460.90 926.98 460.90
107.81 143.44 105.64 166.51
107.81 143.44 173.73 143.16
429.01 736.90 402.06 738.96
429.01 736.90 428.23 699.19
429.01 736.90 458.35 737.02
429.01 736.90 401.84 736.86
594.28 324.67 594.58 334.03
590.73 793.22 509.55 793.22
590.73 793.22 590.71 772.44
590.73 793.22 588.59 782.96
590.73 793.22 588.46 784.02
575.11 729.78 572.60 719.61
