# x1 y1 x2 y2
169.08 348.72 167.62 416.39
169.08 348.72 97.16 348.83
238.19 355.97 246.64 356.86
152.23 283.44 149.61 273.29
545.88 308.66 545.97 285.71
122.45 415.64 167.62 416.39
122.45 415.73 141.47 418.57
545.97 285.71 545.91 309.17
545.97 285.71 637.53 286.94
545.97 285.71 545.72 309.17
545.47 333.02 545.30 348.92
246.84 164.58 246.96 238.68
246.84 164.58 341.43 165.63
182.30 419.96 187.03 421.11
253.59 274.59 255.09 282.73
246.67 303.46 246.64 356.86
637.72 139.51 641.29 189.41
641.93 198.31 642.39 204.73
637.72 139.51 638.30 216.28
637.72 139.51 638.12 225.14
246.92 386.12 246.64 356.86
453.31 386.02 452.30 357.22
460.41 416.81 462.70 426.75
122.10 107.67 162.93 108.20
122.10 107.67 265.64 108.25
453.33 238.88 453.30 164.57
638.60 324.56 637.53 286.94
637.74 389.24 638.16 467.99
637.74 389.24 641.45 415.21
30.99 48.66 71.87 48.55
30.99 48.66 74.98 48.64
602.95 107.83 375.97 108.33
602.95 107.83 377.03 107.77
86.62 139.64 90.49 164.48
91.10 168.38 92.24 175.68
79.75 119.86 78.16 115.27
75.60 107.92 72.89 100.11
453.31 302.33 452.30 357.22
90.50 373.10 87.49 384.04
90.56 321.30 86.75 305.37
97.16 348.83 87.09 340.52
543.65 363.39 546.17 357.41
521.79 415.30 514.67 433.74
521.79 415.30 510.49 415.16
504.59 415.08 498.21 415.00
545.85 333.45 546.17 357.41
545.85 333.45 545.30 348.92
87.77 222.54 90.51 193.74
91.72 181.05 92.24 175.68
453.30 164.57 341.43 165.63
281.55 418.20 353.15 419.34
87.49 384.04 86.75 305.37
87.49 384.04 87.09 340.52
160.07 176.11 92.24 175.68
160.07 176.11 162.49 118.69
162.62 115.69 162.93 108.20
452.30 357.22 445.85 357.20
452.30 357.22 546.17 357.41
602.94 357.03 546.17 357.41
353.15 419.34 416.91 417.14
353.15 419.34 353.08 356.84
86.49 449.31 87.54 466.69
21.32 270.95 21.83 246.00
45.07 277.95 49.26 279.18
246.57 451.34 246.56 468.08
246.57 451.34 247.26 468.27
353.08 356.84 246.64 356.86
679.93 205.18 642.39 204.73
693.95 202.89 698.79 202.10
700.73 201.78 705.56 201.00
763.61 198.86 744.65 199.33
763.61 198.86 742.16 199.08
725.20 199.24 715.72 199.34
337.74 139.93 341.43 165.63
333.20 108.43 162.93 108.20
333.20 108.43 265.64 108.25
333.20 108.43 301.52 107.93
19.13 86.99 18.04 110.74
546.17 357.41 543.70 363.39
523.21 413.05 514.67 433.74
546.17 357.41 545.30 348.92
86.75 305.37 87.09 340.52
746.55 48.63 653.86 48.64
746.55 48.63 652.59 48.39
746.55 48.63 652.59 48.39
453.33 451.33 453.18 468.09
453.33 451.33 456.38 458.95
708.49 122.38 708.32 104.37
708.49 122.38 699.03 122.67
691.07 122.92 683.60 123.16
92.24 175.68 84.38 148.76
157.89 299.25 149.61 273.29
158.24 299.28 170.29 272.22
341.43 165.63 339.61 139.69
351.16 9.14 352.82 21.51
351.16 9.14 361.08 34.91
505.36 432.49 491.63 430.64
503.46 433.70 497.13 433.67
16.45 420.89 16.43 394.92
45.67 424.26 58.54 425.75
64.49 426.43 74.89 427.63
637.53 286.94 641.19 225.03
641.95 212.16 642.39 204.73
637.53 286.94 638.30 216.28
637.53 286.94 638.12 225.14
246.64 356.86 244.53 377.87
707.89 371.05 708.48 352.76
707.89 371.05 698.51 369.98
694.56 369.52 685.68 368.50
684.69 368.39 679.75 367.82
707.89 371.05 699.40 371.25
692.41 371.42 684.92 371.59
626.03 48.63 355.88 48.50
626.03 48.64 356.46 48.63
626.03 48.61 355.88 48.35
327.28 48.32 283.51 48.27
626.03 48.62 355.88 48.45
327.28 48.43 265.58 48.39
708.48 352.76 699.99 352.96
693.00 353.12 684.51 353.33
149.61 273.29 157.41 285.20
160.63 290.13 164.39 295.88
16.43 394.92 21.88 394.90
324.82 48.49 101.04 48.54
355.88 48.47 624.33 48.32
324.82 48.49 102.05 48.63
355.88 48.47 626.03 48.37
324.82 48.49 283.51 48.27
324.82 48.49 265.58 48.39
695.21 471.49 746.57 474.63
572.07 471.49 464.14 477.20
554.13 471.48 464.14 475.23
67.93 259.78 72.47 279.55
708.32 104.37 700.85 104.37
690.90 104.38 684.43 104.38
267.80 68.29 267.78 93.41
267.80 68.29 266.51 92.16
101.04 48.56 327.27 48.62
101.04 48.51 283.51 48.27
101.04 48.53 265.58 48.39
624.33 48.32 356.46 48.63
635.60 68.08 638.67 73.48
635.45 66.64 640.11 74.32
624.33 48.32 355.88 48.28
327.28 48.28 283.51 48.27
642.39 204.73 658.47 207.49
642.39 204.73 638.30 216.28
642.39 204.73 638.12 225.14
715.48 217.26 725.75 217.50
735.53 217.72 742.38 217.87
715.48 217.26 725.93 217.31
733.89 217.34 739.37 217.36
267.78 93.41 266.56 68.46
383.00 276.31 383.01 251.51
72.47 279.55 64.25 279.42
55.55 279.28 49.26 279.18
87.33 75.61 87.13 60.35
64.11 470.49 26.18 476.65
160.59 471.50 231.65 476.18
160.60 471.47 234.15 476.28
246.50 468.09 244.56 452.90
162.93 108.20 265.64 108.25
162.93 108.20 301.52 107.93
496.70 229.69 505.75 256.54
688.56 185.28 698.68 211.83
725.20 199.33 715.72 199.34
102.05 48.63 327.27 48.63
102.05 48.63 283.51 48.27
102.05 48.63 265.58 48.39
650.84 477.23 746.57 474.63
625.79 477.13 464.14 476.36
746.57 474.63 650.84 475.85
356.46 48.63 626.03 48.38
518.37 471.49 623.36 476.20
382.76 471.51 258.39 476.71
73.96 477.13 26.18 476.65
99.68 477.39 231.65 476.18
99.68 477.39 234.15 477.18
214.82 428.41 226.60 429.75
237.40 430.97 241.82 431.48
183.91 424.89 185.52 400.58
650.63 364.47 650.77 339.54
342.94 513.44 359.14 513.45
364.05 513.45 368.96 513.46
375.84 513.46 381.73 513.47
384.68 513.47 395.97 513.48
342.94 513.44 359.93 513.50
342.94 513.44 354.31 513.58
342.94 513.44 338.60 493.93
486.13 337.66 485.62 316.67
464.14 477.22 623.36 476.20
441.28 477.22 258.39 477.17
698.68 211.83 709.42 185.21
711.76 213.61 716.60 214.27
718.54 214.53 726.29 215.58
732.10 216.37 739.37 217.36
26.18 476.65 70.13 477.14
72.89 100.11 75.70 119.01
255.09 282.73 255.71 256.86
623.36 476.20 464.14 476.23
