# x1 y1 x2 y2
829.70 333.05 829.62 412.44
829.74 293.92 829.55 216.67
829.47 333.84 829.62 412.44
829.50 295.99 829.55 216.67
128.00 260.46 128.76 216.71
128.43 360.68 128.50 378.42
606.38 408.32 606.38 339.94
606.38 408.32 476.90 409.58
606.38 121.13 608.89 216.19
606.38 121.13 520.95 121.92
606.38 121.13 520.95 121.14
128.76 216.71 198.93 216.71
988.98 284.28 988.51 216.67
128.50 378.42 127.72 361.62
1188.16 235.16 1184.20 210.98
1188.16 235.16 1183.68 235.19
1177.71 235.23 1172.73 235.26
1171.73 235.27 1161.77 235.33
1151.81 235.40 1140.86 235.47
1188.16 235.16 1183.74 234.61
1177.85 233.89 1159.18 231.58
1155.25 231.10 1148.37 230.25
1144.44 229.77 1136.58 228.80
1117.91 226.50 1112.51 225.83
1188.16 235.16 1183.71 234.70
1177.77 234.10 1159.96 232.29
1154.03 231.68 1136.21 229.87
989.00 412.74 989.00 343.58
608.89 216.19 606.38 266.24
608.89 216.19 829.55 216.67
918.12 342.76 908.72 342.65
385.00 409.21 382.63 333.23
385.00 409.21 476.90 409.58
382.57 120.95 483.75 121.68
382.57 120.95 381.50 196.67
381.34 207.56 381.19 217.95
382.57 120.95 481.31 121.14
478.85 570.71 478.89 533.73
257.31 217.11 381.19 217.95
347.56 336.42 343.11 336.82
20.06 293.45 26.43 325.64
20.06 293.45 26.35 293.44
476.90 409.58 477.09 416.05
477.49 428.98 478.85 474.27
476.90 409.58 474.03 398.68
476.90 409.58 478.04 396.95
382.65 295.54 381.50 234.37
381.35 226.41 381.19 217.95
478.85 474.27 478.33 424.21
478.26 417.27 478.04 396.95
218.22 140.13 209.35 171.53
257.41 217.94 381.19 217.95
462.03 294.36 463.51 300.62
466.48 313.14 468.08 319.88
468.77 322.77 471.63 334.81
455.45 257.78 452.38 240.71
462.03 294.36 440.31 326.92
462.03 294.36 465.32 299.84
455.45 260.65 454.02 253.32
829.55 216.67 988.51 216.67
209.35 171.53 214.73 172.45
243.11 177.26 255.35 179.34
471.63 334.81 471.65 310.38
753.59 323.23 753.17 298.60
753.59 323.23 751.59 313.00
750.45 307.15 749.11 300.33
746.44 286.68 745.20 280.35
708.43 321.68 702.48 321.48
697.52 321.31 692.55 321.13
685.61 320.90 680.65 320.73
668.74 320.32 651.86 319.74
988.51 216.67 1040.59 220.52
1076.30 223.16 1093.16 224.40
988.51 216.67 1071.62 216.58
988.51 216.67 1034.42 220.50
1077.86 224.12 1088.22 224.99
452.38 240.71 452.38 264.54
452.38 240.71 456.47 255.50
452.38 240.71 454.02 253.32
26.43 325.64 48.14 293.41
26.43 325.64 31.78 326.54
50.26 329.67 55.12 330.49
59.98 331.32 64.84 332.14
71.65 333.29 77.00 334.20
273.55 328.32 275.85 300.38
273.55 328.32 284.81 329.70
300.49 331.61 311.27 332.93
316.17 333.53 324.00 334.49
327.92 334.97 343.11 336.82
273.55 328.32 296.33 323.40
299.24 322.77 307.97 320.88
317.67 318.79 323.48 317.53
329.30 316.27 340.45 313.86
908.72 342.65 907.66 336.26
907.49 335.28 904.78 319.07
517.33 520.77 525.59 489.11
547.76 527.09 561.77 529.99
433.64 293.99 440.31 326.92
452.38 264.54 454.02 253.32
525.59 489.11 537.66 494.48
538.56 494.88 547.50 498.86
550.60 57.32 550.96 63.56
551.40 71.23 551.76 77.46
550.60 57.32 539.54 54.53
505.89 46.01 482.33 40.05
550.60 57.32 533.55 56.49
525.76 56.11 515.53 55.61
440.33 364.18 464.92 364.08
1033.56 299.14 1042.03 303.32
1043.82 304.21 1052.74 308.61
1062.55 313.46 1073.70 318.96
1033.56 299.14 1023.42 329.00
551.76 77.46 533.42 79.07
524.51 79.85 517.57 80.46
651.86 319.75 666.74 320.69
680.62 321.57 685.58 321.88
651.58 319.28 654.59 313.18
655.45 311.43 659.32 303.58
663.62 294.86 665.98 290.06
651.86 319.79 663.71 321.48
482.33 40.05 476.31 67.37
1073.70 318.96 1071.35 323.71
1066.67 333.21 1063.89 338.83
343.11 336.82 329.72 337.19
321.79 337.41 308.40 337.78
561.77 529.99 562.57 515.97
562.85 511.14 563.16 505.82
72.96 318.04 77.00 334.20
1023.42 329.00 1028.72 330.29
1054.74 336.60 1063.89 338.83
77.00 334.20 72.66 334.35
340.45 313.86 331.15 314.12
320.38 314.41 311.08 314.67
1112.51 225.83 1135.75 193.18
1112.51 225.83 1107.22 193.23
607.00 217.00 1076.00 217.00
384.00 292.00 384.00 123.00
385.00 408.00 607.00 408.00
386.00 121.00 479.00 121.00
830.00 291.00 830.00 218.00
607.00 407.00 607.00 344.00
990.00 408.00 990.00 348.00
538.00 121.00 594.00 121.00
480.00 472.00 480.00 407.00
830.00 390.00 830.00 338.00
607.00 142.00 607.00 198.00
129.00 218.00 187.00 217.00
384.00 376.00 384.00 407.00
319.00 217.00 375.00 217.00
269.00 217.00 318.00 217.00
607.00 263.00 607.00 221.00
384.00 367.00 384.00 338.00
129.00 256.00 129.00 219.00
990.00 278.00 990.00 222.00
480.00 561.00 480.00 567.00
451.00 315.00 460.00 299.00
880.00 329.00 890.00 329.00
531.00 121.00 537.00 121.00
904.00 339.00 904.00 321.00
445.00 364.00 457.00 364.00
830.00 391.00 830.00 400.00
1121.00 216.00 1123.00 208.00
1083.00 209.00 1090.00 210.00
480.00 538.00 480.00 542.00
607.00 141.00 607.00 123.00
1111.00 198.00 1115.00 217.00
472.00 318.00 472.00 332.00
445.00 252.00 461.00 252.00
874.00 320.00 874.00 311.00
607.00 213.00 607.00 199.00
906.00 340.00 916.00 340.00
453.00 262.00 453.00 243.00
442.00 319.00 446.00 319.00
599.00 121.00 607.00 122.00
883.00 303.00 893.00 303.00
480.00 560.00 480.00 537.00
438.00 299.00 440.00 315.00
1085.00 225.00 1092.00 220.00
129.00 364.00 129.00 374.00
875.00 310.00 881.00 304.00
1112.00 205.00 1114.00 217.00
1091.00 211.00 1093.00 218.00
188.00 217.00 194.00 217.00
