# x1 y1 x2 y2
270.90 421.14 269.31 387.90
270.90 421.14 364.47 421.07
270.90 421.14 272.49 402.84
313.86 112.85 362.71 113.48
270.52 174.74 269.67 204.85
270.52 174.74 268.95 142.78
270.52 174.74 362.59 174.81
270.52 174.74 272.50 205.45
146.74 513.37 320.37 513.32
146.74 513.37 145.69 452.38
146.74 513.37 128.59 513.75
146.74 513.37 129.07 511.65
146.74 513.37 130.02 516.43
146.74 513.37 129.07 511.85
78.16 507.46 68.23 506.60
410.90 112.76 362.71 113.48
269.52 82.06 269.74 58.42
579.20 112.98 623.13 112.80
579.20 112.98 577.59 174.81
362.71 113.48 362.59 174.81
498.62 357.02 531.99 357.48
84.60 482.16 84.61 451.18
79.33 507.03 76.52 520.30
76.32 521.25 75.22 526.46
320.37 513.32 128.59 513.75
668.65 51.67 668.67 80.60
668.65 51.67 469.23 50.85
668.65 51.67 469.84 51.71
668.65 51.67 469.23 51.59
440.59 51.58 436.50 51.58
274.52 236.75 410.55 236.15
453.89 421.60 364.47 421.07
453.89 421.60 453.90 388.48
453.89 421.60 452.50 411.35
577.59 174.81 455.55 173.91
668.64 576.15 668.67 544.80
668.64 576.15 465.93 576.01
668.64 576.15 668.65 544.38
668.64 576.15 670.60 544.88
668.64 576.15 432.05 575.40
145.69 452.38 84.61 451.18
84.61 451.18 82.45 468.52
77.75 506.16 76.52 516.06
84.61 451.18 84.62 333.52
84.61 451.18 84.62 348.30
533.64 443.79 531.99 357.48
533.64 443.79 368.99 442.78
533.64 443.79 379.11 442.88
533.64 443.79 451.85 443.19
225.05 236.79 84.62 236.91
223.74 270.02 222.86 292.34
225.05 236.79 184.62 236.00
225.05 236.79 132.69 236.03
84.60 576.28 84.60 544.67
84.60 576.28 132.65 574.38
84.60 576.28 152.76 574.96
84.60 576.28 282.54 575.00
84.60 576.28 105.56 573.06
142.60 567.36 151.86 565.93
84.60 576.28 302.20 574.98
453.92 204.70 455.55 173.91
454.99 265.75 455.55 297.17
269.93 325.34 269.90 267.93
269.93 325.34 268.66 290.90
269.93 325.34 267.35 318.45
574.09 298.38 668.69 298.38
544.25 298.07 455.55 297.17
269.90 267.93 268.66 290.90
455.55 173.91 455.55 143.01
455.55 173.91 455.55 205.97
364.47 421.07 364.51 442.75
404.95 265.72 402.56 278.32
622.50 513.47 444.89 513.72
622.50 513.47 406.35 513.73
722.37 420.21 722.37 375.10
722.37 420.21 722.37 375.57
148.04 144.38 84.62 143.15
148.04 144.38 148.08 191.32
148.04 144.38 148.05 99.47
148.04 144.38 149.42 98.35
149.69 67.51 148.62 88.33
149.69 67.51 149.73 87.96
184.64 204.31 184.75 223.44
84.62 236.91 82.97 224.65
84.62 236.91 82.45 228.78
84.62 236.91 184.62 236.00
84.62 236.91 132.69 236.03
84.62 236.91 84.62 333.52
84.62 236.91 84.62 348.30
84.61 51.47 84.61 68.28
84.61 129.23 84.62 143.15
84.61 51.47 172.80 54.50
84.61 51.47 84.60 67.45
84.61 51.47 251.50 51.28
84.61 51.47 84.24 68.28
84.61 51.47 197.74 51.27
84.61 51.47 145.94 51.34
84.61 51.47 178.03 50.92
269.28 81.82 269.74 58.42
269.28 81.82 272.60 75.32
453.95 80.63 455.87 59.03
453.95 80.63 457.51 74.15
722.37 345.03 722.37 298.38
84.62 143.15 84.60 160.50
84.62 143.15 84.61 129.23
84.62 143.15 83.06 129.69
84.62 143.15 82.60 151.32
84.62 143.15 82.51 158.36
84.60 160.50 83.00 129.72
668.69 298.38 722.37 298.38
668.69 298.38 572.68 298.38
668.69 298.38 668.65 143.16
