# x1 y1 x2 y2
236.83 167.25 314.16 167.26
236.83 167.25 236.60 212.62
236.83 167.25 235.60 149.91
236.83 167.25 233.44 157.58
613.60 285.43 615.63 338.52
651.02 287.06 656.51 287.30
613.60 285.43 614.45 312.50
314.16 167.26 314.22 120.09
314.22 120.09 280.53 120.10
314.22 120.09 348.00 119.97
236.60 212.62 235.60 149.91
454.73 313.22 318.17 311.71
454.73 313.22 455.89 244.00
454.73 313.22 454.40 274.43
454.73 313.22 318.76 313.36
310.79 313.37 298.34 313.38
454.73 313.22 454.50 297.48
228.64 131.37 224.58 132.25
614.45 256.39 614.66 198.77
614.86 284.99 615.63 338.52
614.66 198.77 563.81 198.64
614.66 198.77 642.34 198.35
614.66 198.77 626.79 200.55
646.21 203.41 657.38 205.05
498.39 198.09 563.81 198.64
468.07 197.83 392.66 197.73
173.89 350.83 112.24 350.93
173.89 350.83 173.92 393.28
110.78 243.68 112.20 167.07
115.27 243.75 191.66 244.93
110.78 243.68 110.80 311.47
110.78 243.68 110.78 148.50
107.31 243.77 53.31 245.03
107.31 243.62 45.90 242.53
40.95 242.44 33.02 242.30
110.78 243.68 105.18 237.45
107.32 244.11 79.66 247.50
48.05 251.37 39.65 252.40
110.78 243.68 110.76 208.76
110.78 243.68 110.75 232.16
180.45 439.23 179.98 418.97
519.03 151.08 392.66 151.10
112.24 350.93 110.80 311.47
112.24 350.93 110.34 361.45
112.24 350.93 108.56 359.67
112.24 350.93 109.49 361.51
564.02 423.64 564.04 448.73
173.89 167.15 173.89 120.34
173.89 167.15 112.20 167.07
173.89 167.15 129.96 169.53
114.16 170.38 108.24 170.70
564.04 448.73 355.37 448.00
564.04 448.73 565.75 423.48
564.04 448.73 479.16 447.79
564.04 448.73 518.34 447.90
564.04 448.73 416.86 448.51
564.04 448.73 384.00 448.17
102.56 109.87 95.36 131.09
102.56 109.87 99.24 114.03
89.58 126.12 85.05 131.79
110.80 87.10 110.76 56.58
173.89 120.34 155.22 120.13
498.39 197.97 563.81 198.64
563.81 198.64 563.92 180.66
563.81 198.64 566.10 180.29
563.81 198.64 564.98 217.84
392.66 197.73 392.66 151.10
392.66 197.73 391.27 213.07
392.66 197.73 389.52 207.73
112.20 167.07 110.78 148.50
112.20 167.07 110.76 208.76
112.20 167.07 110.75 232.16
107.33 311.54 52.27 312.68
110.80 311.47 110.27 361.41
107.32 311.21 97.39 310.46
96.40 310.39 84.49 309.50
48.74 306.82 40.30 306.19
115.29 311.54 181.60 312.62
110.80 311.47 271.39 312.65
115.26 311.51 237.81 312.54
110.80 311.47 110.75 232.16
110.76 56.58 235.73 57.66
110.76 56.58 164.51 57.72
110.76 56.58 260.57 57.67
52.27 312.68 40.30 306.19
52.27 312.68 39.66 320.45
601.93 383.41 595.79 403.64
601.93 383.41 590.71 383.26
588.76 383.24 583.39 383.17
110.79 424.35 110.69 448.75
235.73 57.66 235.73 87.21
235.73 57.66 314.15 57.67
235.73 57.66 288.03 57.72
235.73 57.66 164.51 57.72
235.73 57.66 238.64 64.36
246.38 82.24 248.51 87.15
235.73 57.66 260.57 57.67
352.00 462.45 351.98 481.58
615.63 338.52 614.45 312.50
315.35 362.78 312.71 311.65
300.06 362.95 295.63 363.00
110.69 448.75 181.07 447.64
110.69 448.75 158.43 447.55
354.76 416.66 355.02 438.19
519.51 393.28 360.83 393.61
519.51 393.28 321.53 394.70
519.51 393.28 338.64 393.79
519.51 393.28 456.29 390.48
267.85 393.35 173.92 393.28
267.85 393.35 155.12 393.81
320.27 393.68 338.64 393.79
378.30 481.44 368.07 481.49
357.34 481.55 351.98 481.58
377.07 472.10 376.28 466.19
58.33 197.13 63.89 175.84
58.33 197.13 62.57 198.57
67.28 200.16 74.34 202.55
587.31 403.83 580.32 404.00
89.35 119.00 85.35 110.95
277.39 254.73 276.22 233.43
277.39 254.73 272.92 254.78
266.96 254.86 259.02 254.95
247.11 255.09 242.64 255.15
277.39 254.73 272.06 254.77
266.25 254.82 260.92 254.86
277.39 254.73 274.02 249.23
335.26 477.44 328.09 475.67
173.92 393.28 155.12 393.80
173.92 393.28 155.61 395.79
392.66 151.10 391.27 213.07
293.56 88.70 289.06 88.72
336.97 88.47 336.87 67.54
336.97 88.47 342.44 88.35
336.97 88.47 342.35 88.22
336.97 88.47 342.35 88.46
410.41 462.13 402.47 482.90
312.71 311.65 314.17 292.13
310.31 311.94 298.34 313.38
310.23 311.66 181.60 312.62
310.25 311.71 271.39 312.65
310.21 311.68 237.81 312.54
564.22 57.67 564.93 118.20
564.22 57.67 405.55 58.71
564.22 57.67 406.29 57.72
564.22 57.67 405.55 57.67
381.16 57.67 338.08 57.68
564.22 57.67 405.55 56.83
289.06 88.72 287.76 67.04
289.06 88.72 288.37 67.89
289.06 88.72 284.82 88.39
