# x1 y1 x2 y2
228.75 356.64 169.48 356.73
292.50 80.24 292.57 108.19
292.51 319.19 292.51 251.37
292.51 319.19 292.51 274.21
292.50 178.50 292.51 251.37
292.50 178.50 292.51 274.21
169.39 141.95 230.46 142.49
169.39 141.95 170.64 251.26
169.39 141.95 170.64 276.73
169.48 356.73 170.64 251.26
169.48 356.73 170.64 276.73
292.50 422.32 292.50 392.30
371.75 69.29 378.64 43.54
374.08 69.52 380.94 68.83
374.07 69.54 380.91 68.91
398.51 67.29 420.51 65.27
301.93 264.69 292.51 251.37
301.93 264.69 370.99 264.74
301.93 264.69 292.51 274.21
292.51 251.37 292.51 274.21
301.85 151.46 309.25 118.71
33.87 273.64 29.57 251.11
29.38 250.13 27.52 240.34
34.25 273.72 58.77 239.89
342.55 27.07 349.47 60.11
342.94 26.59 350.78 26.57
367.44 26.53 374.79 26.51
302.54 365.29 309.35 332.11
353.45 374.36 355.69 347.33
27.92 239.84 34.84 239.76
52.63 239.56 57.58 239.50
370.99 264.74 384.85 273.01
370.99 264.74 382.66 253.53
370.99 264.74 383.67 254.40
350.63 60.37 374.79 26.51
345.48 160.73 363.14 160.70
344.09 159.68 363.48 140.31
378.64 43.54 393.67 43.51
104.73 272.38 120.23 264.74
83.88 282.13 82.28 263.71
159.67 264.69 120.23 264.74
159.67 264.69 170.64 251.26
162.58 267.88 165.80 271.42
59.85 282.16 59.49 262.54
59.18 245.86 59.07 239.97
59.88 282.16 60.95 262.68
120.23 264.74 105.90 272.53
120.23 264.74 106.63 254.55
399.54 65.61 406.77 43.48
399.08 67.02 420.51 65.27
170.64 251.26 170.64 276.73
406.77 43.48 423.96 47.09
487.50 276.68 486.14 271.88
483.69 263.24 480.43 251.72
487.15 277.13 481.30 276.71
473.51 276.14 468.64 275.79
467.66 275.72 456.95 274.94
487.13 277.16 481.14 277.16
487.14 277.13 481.28 276.68
420.51 65.27 423.96 47.09
435.25 233.90 412.32 266.28
480.63 251.57 484.59 255.53
485.25 256.19 488.56 259.49
403.64 233.97 411.12 266.04
447.06 275.96 438.15 276.96
456.95 274.94 467.63 275.67
468.60 275.74 472.98 276.04
342.49 118.96 342.00 127.73
457.77 276.50 467.58 276.20
468.56 276.17 472.98 276.04
170.00 354.00 170.00 144.00
292.00 315.00 292.00 183.00
117.00 264.00 169.00 264.00
172.00 142.00 226.00 142.00
171.00 356.00 224.00 356.00
293.00 264.00 343.00 264.00
291.00 105.00 292.00 85.00
344.00 264.00 375.00 265.00
292.00 397.00 292.00 419.00
106.00 256.00 112.00 256.00
103.00 268.00 103.00 259.00
105.00 270.00 113.00 270.00
372.00 264.00 380.00 256.00
389.00 259.00 390.00 266.00
116.00 260.00 116.00 267.00
