# x1 y1 x2 y2 conf text
414 64 507 119 0.8185 IM7
740 106 816 162 0.8845 M8
76 204 198 264 0.4647 IREFZ
740 226 818 286 0.3189 Ms
438 416 514 472 0.9924 M3
26 510 140 568 0.7824 IREF1
435 503 495 551 0.9669 M1
652 502 730 558 0.7469 Mz
771 6 885 85 0.3365 VoD
107 97 219 171 0.5066 Mbz
405 169 526 260 0.4665 Ims
590 406 684 476 0.6613 Ma
577 618 671 694 0.9826 Mg
185 678 291 752 0.9629 Mb1
