# x1 y1 x2 y2 conf text
901 53 955 77 0.9967 VDD
450 64 490 94 0.2298 M,
783 105 811 127 0.9773 in-
12 166 62 200 0.9961 Vint
142 164 184 196 0.9979 Mz
678 164 720 196 0.8909 Ms
1008 168 1054 198 0.5449 Wiz
480 184 510 212 0.9997 M
804 286 844 316 0.4296 Mj
412 350 468 412 0.2331 b
1099 369 1143 393 0.9995 OUT
242 388 274 416 0.9995 M
594 388 632 418 0.4381 Mo
360 438 406 468 0.7011 Mz
458 438 504 470 0.9998 Ms
816 436 852 470 0.9999 M
1008 450 1054 482 0.4255 Wz1
814 570 854 602 0.9999 M
410 666 456 700 0.4920 Vb3
68 714 106 744 0.6167 MJ
508 716 548 748 0.5573 113
730 726 774 758 0.5579 Mis
309 181 357 218 0.2109 Ms
1010 568 1068 608 0.4219 Mzs
