# x1 y1 x2 y2 conf text
249 65 303 109 0.9047 Mp
456 58 526 110 0.7064 VLX
759 50 854 108 0.7790 Rocr
1075 65 1125 109 0.9991 Vo
615 155 665 199 0.9859 RF
781 149 831 191 0.9946 CF
29 171 87 219 0.3975 Vin
398 190 458 242 0.6984 Mn
1199 199 1239 243 0.8891 lo
502 223 690 278 1.0000 RC Matching
1060 232 1118 284 0.9998 Co
503 271 583 313 1.0000 Filter
251 395 329 437 1.0000 Gate
411 393 471 441 0.9983 Vsv
243 431 337 475 1.0000 Driver
575 425 651 473 0.9840 VAW
701 425 765 471 0.2072 IAWF
1023 445 1187 493 0.9961 Transient
922 486 964 522 0.9997 PF
1011 497 1063 543 0.9999 Vo
1053 489 1212 559 0.9920 Sensing;
401 535 491 577 1.0000 Reset
371 567 519 613 1.0000 Generator
636 556 717 611 0.2141 SAWE
731 558 813 610 0.9788 CAW
429 676 1115 740 0.9091 Adaptive Window Hysteretic Controller
1052 129 1153 196 0.8549 RESR
569 353 665 416 0.7597 VsNs
515 525 610 590 0.5668 VRES
834 633 922 686 0.9377 VREF
