# x1 y1 x2 y2 conf text
363 5 425 45 0.9921 VDD
144 58 208 90 0.6183 MIO
580 58 638 88 1.0000 M
104 138 140 172 0.9985 M
642 136 692 170 0.9699 M6
163 181 209 221 0.9986 Cc
224 192 264 224 0.9966 Rz
320 178 370 210 0.9979 M3
428 178 478 210 0.4966 M4H
504 192 542 226 0.9609 Rz
568 188 600 220 0.9007 Cc
712 202 756 234 0.9469 Vo2
0 218 63 253 0.9999 Volo
184 276 266 306 0.3710 Vil 0_
308 278 356 310 0.3825 MI
438 280 472 308 0.9994 M
510 278 586 308 0.4001 ~OVi2
396 372 444 404 0.8450 M5
94 390 142 424 0.9146 Mg
640 392 688 424 0.9823 M8
242 424 296 456 0.9999 VBN
364 462 414 498 0.9951 Vss
354 63 418 109 0.9732 VBP
