# x1 y1 x2 y2 conf text
1690 12 1770 48 0.9916 ~VDD
122 62 176 98 0.9982 M3
210 62 262 96 0.9672 M2
390 64 440 96 0.5281 M1
1076 64 1146 96 0.9540 M17
1244 64 1294 96 0.9646 M7
1601 60 1676 106 0.7237 M1o"
492 130 536 166 0.9994 Iref
122 160 176 196 0.9953 M6
212 160 262 194 0.4130 M5
390 160 442 194 0.9997 M4
1076 160 1146 196 0.9517 M18
1244 160 1294 194 0.9990 M8
1382 148 1434 184 0.5841 M9
1606 134 1680 192 0.6137 M1]
610 204 680 240 0.9994 M23
860 202 918 236 0.5767 M22
1022 204 1092 240 0.9972 M21
172 232 210 262 0.6243 IA
28 302 82 338 0.9999 Vref
188 290 264 326 0.7381 RZB1
309 299 333 325 0.5059 12
364 292 442 328 0.9920 RZA1
748 328 816 364 0.5725 M2S
840 328 906 362 0.5059 M2L
98 400 142 434 0.9999 R3
582 384 624 418 0.9995 Cc
634 384 676 418 0.9999 Rc
1505 393 1585 433 0.9450 Im14
1602 388 1670 422 0.6747 M15
186 408 264 444 0.2485 RZB2
366 406 444 440 0.5032 RZA2
482 420 524 454 0.9836 R1
1391 435 1463 475 0.5687 M13 
1258 460 1326 496 0.5825 M12
960 484 1024 520 0.7628 M2(
1178 476 1248 512 0.7811 M19
103 519 179 561 0.9082 (1)Q
395 519 473 561 0.4466 (NJQ'
594 528 664 564 0.6657 M28
743 525 895 565 0.9416 Im27 M26
1590 512 1660 548 0.9927 M16
472 704 616 738 0.8242 bandgap core
1204 702 1328 734 0.7241 bias circuit
1538 701 1702 736 0.9557 Start-up circuit
6 234 62 279 0.9951 Iref
