# x1 y1 x2 y2 conf text
850 2 934 38 0.9999 VDD
313 84 407 133 0.7243 MPB3
500 88 542 116 0.7290 BP
941 66 1048 114 0.7316 MPAII
1134 88 1176 116 0.9999 BP
1753 66 1859 114 0.5770 MPAI7
161 93 251 135 0.5017 MPB1
0 120 46 156 0.9993 VB
0 153 62 183 0.9763 Mirror
1 179 51 203 0.9998 from
0 201 57 225 0.9997 VREF
313 197 408 244 0.9979 MPB4
498 204 574 232 0.9486 BPcas
1122 204 1200 232 0.9999 BPcas
1604 202 1682 232 0.9999 BPcas
1163 259 1268 305 0.8580 MPA14
63 325 123 367 0.4861 RBI
599 329 641 373 0.9958 in-
990 328 1038 360 0.5356 int
585 400 698 447 0.6826 MNAII
891 401 1004 447 0.9141 MNA12
266 454 348 484 0.9998 BNcas
411 491 509 531 0.9995 MNB4
933 495 1043 535 0.9722 MNA16
1749 487 1857 527 0.9482 MNA22
1171 519 1279 561 0.4359 MNAIs]
266 590 312 618 0.9999 BN
55 625 154 670 0.5730 MNBI
413 629 509 671 0.5729 MNB3
795 629 905 671 0.8850 MNA13
1749 629 1859 671 0.8842 MNA21
946 696 1032 732 1.0000 GND
253 719 329 751 0.9975 Bias
1102 722 1248 751 0.9977 OP_AMP
1521 43 1632 98 0.5448 MPAIS
1275 62 1387 116 0.9877 MPA13
939 178 1049 232 0.9827 MPA12
1385 178 1498 232 0.9306 MPA16
1751 177 1863 232 0.7169 MPAS
311 310 387 366 0.8195 Rpz
53 484 158 537 0.5151 MNB2 
790 487 906 542 0.5942 MNA14
1493 510 1612 566 0.7210 MNA20
931 623 1048 678 0.9026 MNAIS
1167 623 1284 678 0.6065 MNAI7 
1493 623 1608 678 0.5650 MNA19
