x1 y1 x2 y2 cls conf
227.85 281.99 298.37 355.28 2 0.9707
103.10 364.64 183.39 455.42 12 0.9672
514.99 477.52 553.12 516.31 0 0.9541
118.39 477.39 157.05 516.42 0 0.9509
594.03 37.77 655.27 73.74 1 0.9424
260.03 37.89 320.42 72.40 1 0.9416
501.19 376.56 570.20 441.42 2 0.9407
265.00 104.50 315.91 165.18 8 0.9387
320.82 37.83 380.98 73.27 1 0.9340
600.04 140.46 651.38 198.39 8 0.9310
381.13 38.04 441.15 72.86 1 0.9200
441.32 38.23 501.80 73.75 1 0.9025
505.56 37.97 569.12 73.47 1 0.7674
