x1 y1 x2 y2 cls conf
40.34 335.54 120.66 415.49 14 0.9661
72.90 117.75 128.11 185.66 4 0.9623
481.30 118.29 534.81 184.14 4 0.9568
480.70 220.03 535.33 286.31 5 0.9538
73.31 219.68 128.97 287.46 3 0.9512
73.29 463.23 128.58 529.96 3 0.9510
479.02 462.76 535.77 528.74 3 0.9465
72.96 565.41 128.78 634.49 2 0.9432
480.50 565.12 534.82 632.63 2 0.9416
335.44 569.17 392.80 608.17 17 0.9285
336.74 344.60 393.99 386.78 17 0.9285
273.60 430.77 333.51 463.47 9 0.9280
217.02 344.82 276.36 386.89 17 0.9276
336.37 120.87 393.46 161.39 17 0.9236
275.75 292.16 332.86 322.12 9 0.9227
219.40 121.23 276.60 161.42 17 0.9216
219.00 568.01 274.77 609.63 17 0.8918
